	sample	Lane	name
0	25B	1	25B_X
1	3C3	1	3C3_X
2	586A	1	586A_X
3	2817_A	1	2817_A
4	2817_B	1	2817_B
6	2838_B	1	2838_B
7	2847_A	1	2847_A
8	2847_B	1	2847_B
9	2857_A	1	2857_A
10	2857_B	1	2857_B
11	2860_A	1	2860_A
12	2860_B	1	2860_B
13	2874_A	1	2874_A
14	2874_B	1	2874_B
15	2878_A	1	2878_A
16	2878_B	1	2878_B
17	2882_A	1	2882_A
18	2882_B	1	2882_B
19	2885_A	1	2885_A
20	2885_B	1	2885_B
21	2887_A	1	2887_A
22	2887_B	1	2887_B
23	2894_A	1	2894_A
24	2894_B	1	2894_B
25	2917_A	1	2917_A
26	2917_B	1	2917_B
27	2920_A	1	2920_A
28	2920_B	1	2920_B
29	2928_A	1	2928_A
31	2929_A	1	2929_A
32	2929_B	1	2929_B
33	2935_A	1	2935_A
35	2941_A	1	2941_A
36	2941_B	1	2941_B
37	2949_A	1	2949_A
38	2949_B	1	2949_B
39	2952_A	1	2952_A
40	2952_B	1	2952_B
