	sample	Lane	name
0	FD_AH_001_001A	001	01_A
1	FD_AH_001_001B	001	01_B
2	FD_AH_001_002A	001	02_A
3	FD_AH_001_002B	001	02_B
4	FD_AH_001_003A	001	03_A
5	FD_AH_001_003B	001	03_B
6	FD_AH_001_004A	001	04_A
7	FD_AH_001_004B	001	04_B
8	FD_AH_001_005A	001	05_A
9	FD_AH_001_005B	001	05_B
10	FD_AH_001_006A	001	06_A
11	FD_AH_001_006B	001	06_B
12	FD_AH_001_007A	001	07_A
13	FD_AH_001_007B	001	07_B
14	FD_AH_001_010A	001	10_A
15	FD_AH_001_010B	001	10_B
16	FD_AH_002_008A	002	08_A
17	FD_AH_002_008B	002	08_B
18	FD_AH_002_009A	002	09_A
19	FD_AH_002_009B	002	09_B
20	FD_AH_002_011A	002	11_A
21	FD_AH_002_011B	002	11_B
22	FD_AH_002_012A	002	12_A
23	FD_AH_002_012B	002	12_B
24	FD_AH_002_013A	002	13_A
25	FD_AH_002_013B	002	13_B
26	FD_AH_002_014A	002	14_A
27	FD_AH_002_014B	002	14_B
28	FD_AH_002_015A	002	15_A
29	FD_AH_002_015B	002	15_B
30	FD_AH_002_016A	002	16_A
31	FD_AH_002_016B	002	16_B
